case_id,case_name,event_name,input_scale,control_mode,source_file,method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,path_manifestation,final_w12,final_w23,final_path_dominance_index,mean_path_dominance_index,edge_current_rms_1F_2F,edge_current_rms_2F_3F,edge_current_concentration_ratio_1F_2F_over_2F_3F,mean_evolved_av_next_vs_measured_av_corr,mean_evolved_abs_av_next_vs_measured_abs_av_corr,mean_one_step_av_evolution_residual_rmse,mean_target_hit_power_alignment_corr,mean_signed_hit_power_vs_signed_av_corr,mean_target_hit_peak_time_offset_seconds,work_capacity_scale,mean_manifested_work_ratio,mean_unmanifested_work_margin,max_response_floor
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5595207576427663,0.5610601463382054,0.9972562857895303,-0.1352074096010898,0.6713213670242938,13553.650436162696,0.6713213670242938,-0.1352074096010898,1.2830000000000013,19.020567179925454,0.6157526265276779,0.384247373472322,3F
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9996200241569346,1.0003799758430654,-0.0003799758430651821,-0.006783386215610084,0.46836386401280655,0.4763814969377873,0.9831697222131804,-0.038518715264442914,0.7650680843379544,13214.599809736223,0.7650680843379544,-0.038518715264442914,0.2343333333333343,28.0569539995639,0.450361648150786,0.549638351849214,3F
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1402202543022613,0.859779745697739,0.14022025430219104,0.43524292443420504,0.4442495073600204,0.11805239711527184,3.7631553294294515,0.322514415152764,0.6154400558981449,22738.815768081546,0.6154400558981449,0.322514415152764,0.06300000000000239,12.231488201454129,0.5069021589478847,0.4930978410521152,3F
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5608097521827751,0.5599938914461926,1.0014569100628474,0.001584595630293247,0.6166589690489497,4260.594861559765,0.6166589690489497,0.001584595630293247,2.666666666666669,16.05856279845644,0.6793624270391031,0.3206375729608969,1F
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9967603011705335,1.0032396988294663,-0.003239698829464778,-0.011889142254067647,0.46848871199296593,0.48277811085827393,0.9704017258759413,0.037321268079635185,0.737213082132285,4188.884261786351,0.737213082132285,0.037321268079635185,3.183333333333335,23.64128263438624,0.4882071851114264,0.5117928148885736,1F
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1495633118985749,0.8504366881014251,0.14956331189850006,0.2096696777354528,0.2425148955529247,0.12062738896648018,2.0104463640368113,0.2580372098763449,0.5892913703515892,7284.96888403412,0.5892913703515892,0.2580372098763449,0.1946666666666701,9.714970613634911,0.5552983195532576,0.4447016804467425,1F
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5585080468981957,0.5596022786566854,0.998044625975944,0.06477925602233696,0.5820019056897393,0.0711625742891584,0.5820019056897393,0.06477925602233696,0.9635416716792969,12.233512465266385,0.6767546575209802,0.3232453424790198,3F
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9927788153980938,1.0072211846019063,-0.007221184601902683,-0.016580430780363517,0.4706037993976322,0.4910084896632471,0.9584433045535167,-0.01593274667668704,0.6766302529812714,0.07274760383740124,0.6766302529812714,-0.01593274667668704,0.7356770929408754,15.606317931252436,0.5488587172606718,0.4511412827393282,3F
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5426350663126362,0.45736493368736386,0.5426350663123649,0.36786953835109554,0.5304403691605503,0.12077741737653798,4.391883687183403,0.656291182145399,0.9184283661440458,0.06499635768387341,0.9184283661440458,0.656291182145399,0.0846354012110524,1.654114507076246,0.6108156340629378,0.3891843659370622,3F
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5559572298790223,0.5604137515369486,0.992047801027908,0.04938958023617455,0.6038727251781612,0.10993986930820042,0.6038727251781612,0.04938958023617455,1.8277994813596934,13.819037978861749,0.6728422539590846,0.32715774604091535,2F
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9963671373148376,1.0036328626851623,-0.0036328626851605136,-0.0171590201680772,0.4683909927728739,0.48908448755318146,0.9576893250391322,0.04634522885750103,0.6990076372960706,0.11113336926680582,0.6990076372960706,0.04634522885750103,2.337239577067543,22.207012424520688,0.49002306259928546,0.5099769374007145,2F
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.079086390378787,0.9209136096212128,0.07908639037874757,0.20540575740071831,0.42631142284292706,0.31152975903567776,1.3684452623761558,0.7526765152748646,0.95163888066463,0.09584473674464071,0.95163888066463,0.7526765152748646,0.0032552164788596607,1.8328530930360194,0.5524213579896404,0.4475786420103596,2F
