case_id,case_name,event_name,input_scale,control_mode,source_file,method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,target_floor_no,target_floor,evolved_av_next_vs_measured_av_corr,evolved_abs_av_next_vs_measured_abs_av_corr,one_step_av_evolution_residual_rmse,target_hit_power_alignment_corr,signed_hit_power_vs_signed_av_corr,target_hit_power_peak_time_seconds,measured_abs_a_times_v_peak_time_seconds,target_hit_power_peak_time_offset_seconds,w_hit_final,work_capacity_scale,hit_work_capacity_final,displacement_side_work_final,manifested_work_ratio,unmanifested_work_margin,measured_abs_work_final,measured_signed_work_final,max_downstream_response_envelope,downstream_response_peak_time_seconds,hidden_work_proxy_mean
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,-0.23725629261802977,0.7497571044805521,4822.204037668834,0.7497571044805521,-0.23725629261802977,66.682,66.681,0.0010000000000047748,90113.48473871463,19.020567179925454,1714009.5902899087,220106.85383502918,0.12841634905776703,0.871583650942233,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072697086248609
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,0.00830042488096546,0.7108221367512986,13328.675945563858,0.7108221367512986,0.00830042488096546,65.281,66.67,-1.3889999999999958,55092.471227859474,19.020567179925454,1047890.0500976113,803166.4136294897,0.7664605781443145,0.23353942185568555,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486940347918892
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,-0.17666636106620506,0.5533848598410307,22510.071325255398,0.5533848598410307,-0.17666636106620506,69.13300000000001,66.674,2.459000000000003,74900.8769695067,19.020567179925454,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.9458683024859027
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,-0.058080482819744025,0.792266959891005,3933.799736358435,0.792266959891005,-0.058080482819744025,66.682,66.681,0.0010000000000047748,48473.36262380746,28.0569539995639,1360014.9053403458,220106.85383502918,0.16184150112674472,0.8381584988732553,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072697086248609
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.0029404087959679745,0.7702708478511413,13497.040443054542,0.7702708478511413,0.0029404087959679745,65.976,66.67,-0.6940000000000026,120856.1420871244,28.0569539995639,3390855.219103208,803166.4136294897,0.23686249094466091,0.7631375090553391,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486940347918892
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.06041607176955269,0.7326664452717171,22212.95924979569,0.7326664452717171,-0.06041607176955269,66.682,66.674,0.007999999999995566,50777.32822515151,28.0569539995639,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.945868300279756
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.7784148298993706,0.9001267675096173,32545.81125515646,0.9001267675096173,0.7784148298993706,66.675,66.681,-0.006000000000000227,2146345.955457141,12.231488201454129,26253005.23041281,220106.85383502918,0.00838406315403641,0.9916159368459636,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072746207469959
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.09256571176472093,0.4767929722300559,13569.566107476854,0.4767929722300559,0.09256571176472093,66.828,66.67,0.15800000000000125,117269.10537245184,12.231488201454129,1434375.6787582256,803166.4136294897,0.5599414613086654,0.4400585386913346,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486989469140242
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.09656270379420051,0.4694004279547615,22101.069941611324,0.4694004279547615,0.09656270379420051,66.649,66.674,-0.025000000000005684,116474.55638836038,12.231488201454129,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.9458836861840125
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,-0.10268290813800404,0.5851661907017784,1323.0188075194528,0.5851661907017784,-0.10268290813800404,53.587,45.782,7.805000000000007,10077.14757492767,16.05856279845644,161824.50716128902,30885.67895233998,0.19085909479431631,0.8091409052056837,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361163280800004
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,0.5072004888630637,0.6356618537624689,4297.937069320837,0.6356618537624689,0.5072004888630637,45.783,45.963,-0.17999999999999972,8119.759567110045,16.05856279845644,130391.66891680413,116680.62425928854,0.8948472339420407,0.10515276605795931,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.9301947883424018
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,-0.39976379383417987,0.6291488626826015,7160.828707839005,0.6291488626826015,-0.39976379383417987,46.330000000000005,46.315000000000005,0.015000000000000568,12688.742456329437,16.05856279845644,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315065282903564
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,-0.053903290393957234,0.857454387025555,1241.809980197411,0.857454387025555,-0.053903290393957234,45.783,45.782,0.0010000000000047748,6677.587435116354,23.64128263438624,157866.731869412,30885.67895233998,0.19564400039578153,0.8043559996042184,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361163280800004
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.016003626175884512,0.6669203138858605,4518.538551587818,0.6669203138858605,0.016003626175884512,54.98,45.963,9.016999999999996,15589.114929312162,23.64128263438624,368546.6720637989,116680.62425928854,0.31659660255754535,0.6834033974424547,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.9301947883424018
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,0.1498634684569783,0.6872645454854396,6806.304253573825,0.6872645454854396,0.1498634684569783,45.783,46.315000000000005,-0.5320000000000036,8618.947233938716,23.64128263438624,203762.9675684067,194059.96911276825,0.9523809523809522,0.04761904761904778,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315065280392062
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.6804833741425644,0.7988307286203129,10306.62533112565,0.7988307286203129,0.6804833741425644,46.327000000000005,45.782,0.5450000000000088,303568.485920237,9.714970613634911,2949158.919940746,30885.67895233998,0.010472707572150955,0.9895272924278491,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.053358253821896996,0.5005629788837854,4618.752438988633,0.5005629788837854,0.053358253821896996,45.946000000000005,45.963,-0.016999999999995907,17083.48281916397,9.714970613634911,165965.53356671488,116680.62425928854,0.7030412987066693,0.2969587012933307,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.04027000166457315,0.4684804035506694,6929.528881988076,0.4684804035506694,0.04027000166457315,46.293,46.315000000000005,-0.02200000000000557,20974.120835983424,9.714970613634911,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,0.15116939411585195,0.5612742378589483,0.028034574565045243,0.5612742378589483,0.15116939411585195,9.335937522556845,10.722656253759476,-1.386718731202631,0.12804793279876497,12.233512465266385,1.5664759820452836,0.422655708848558,0.2698130796084367,0.7301869203915633,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,-0.15293414573997186,0.6119186666852142,0.07453693570379076,0.6119186666852142,-0.15293414573997186,12.314453141917634,10.893554677788028,1.4208984641296052,0.1055339182210085,12.233512465266385,1.2910505040651106,1.2295719086334387,0.9523809523802147,0.047619047619785304,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.9496141728590162
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,0.1961025196911308,0.5728128125250556,0.11091621259863921,0.5728128125250556,0.1961025196911308,10.727539078477768,10.810546898183423,-0.08300781970565474,0.18907361058166527,12.233512465266385,2.3130343719037243,1.8690935474513388,0.8080699405742892,0.19193005942571084,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9505907949243622
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,0.08731451054656943,0.7568850630687449,0.029341493475068297,0.7568850630687449,0.08731451054656943,12.314453141917634,10.722656253759476,1.5917968881581572,0.13922554552785865,15.606317931252436,2.172798127659823,0.422655708848558,0.19452138855788595,0.8054786114421141,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.011723294355773465,0.724646023269515,0.07351695082484566,0.724646023269515,0.011723294355773465,11.425781248746842,10.893554677788028,0.5322265709588141,0.1576764722779891,15.606317931252436,2.4607491566486086,1.2295719086334387,0.4996738108436625,0.5003261891563375,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.9496141727851516
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.14683604493240401,0.5483596726055544,0.11538436721228973,0.5483596726055544,-0.14683604493240401,10.727539078477768,10.810546898183423,-0.08300781970565474,0.12575344379559283,15.606317931252436,1.962548224823906,1.8690935474513388,0.952380952380467,0.04761904761953295,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9505905238569233
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.5668865580742739,0.8511274423663869,0.060318314416272605,0.8511274423663869,0.5668865580742739,10.898437502506315,10.722656253759476,0.17578124874683887,1.2289375115987695,1.654114507076246,2.032803366225707,0.422655708848558,0.2079176549343738,0.7920823450656262,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.7086464118026851,0.9489601215103797,0.052671089845590276,0.9489601215103797,0.7086464118026851,10.820312507518947,10.893554677788028,-0.07324217026908109,1.1059188505019553,1.654114507076246,1.8293164142643703,1.2295719086334387,0.6721482948739728,0.32785170512602724,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.949638394500114
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.6933405765592384,0.9551975345553708,0.08199966878975733,0.9551975345553708,0.6933405765592384,10.81542968280066,10.810546898183423,0.004882784617237235,1.1864645503247755,1.654114507076246,1.962548224823906,1.8690935474513388,0.952380952380467,0.04761904761953295,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9511334732240502
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,0.11563736621375391,0.5355585460065945,0.03668807254381443,0.5355585460065945,0.11563736621375391,9.272460921522239,6.831054657737499,2.4414062637847396,0.17825894009706106,13.819037978861749,2.463367063272928,0.6879979756553128,0.27929170033674633,0.7207082996632537,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,-0.13027746615459326,0.6270329621399601,0.10960359620850546,0.6270329621399601,-0.13027746615459326,9.794921843044472,6.8359374824557895,2.9589843605886825,0.16430793271850483,13.819037978861749,2.270577562465279,2.162454821395504,0.9523809523805329,0.047619047619467114,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.935186937633619
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,0.162808840649363,0.6490266673879288,0.18352793917228136,0.6490266673879288,0.162808840649363,6.8359374824557895,6.918945302161448,-0.08300781970565829,0.3454309323928482,13.819037978861749,4.7735231738103945,3.75606632448386,0.7868541091599747,0.21314589084002533,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9342831368963707
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,0.153732527775898,0.7817307769695763,0.03825323126210099,0.7817307769695763,0.153732527775898,6.655273408990657,6.831054657737499,-0.17578124874684242,0.2683010338543313,22.207012424520688,5.958164392314881,0.6879979756553128,0.115471465765968,0.884528534234032,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.039639389905954434,0.7881835294365641,0.10815429469589526,0.7881835294365641,0.039639389905954434,9.794921843044472,6.8359374824557895,2.9589843605886825,0.24210108377058207,22.207012424520688,5.376341775283239,2.162454821395504,0.40221676965117753,0.5977832303488224,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9351869376195029
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.05433623110934931,0.5271086054820716,0.1869925818424212,0.5271086054820716,-0.05433623110934931,10.795898424028552,6.918945302161448,3.8769531218671043,0.17759568758349883,22.207012424520688,3.943869640708053,3.75606632448386,0.9523809523807109,0.047619047619289145,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9342825598075267
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.7330233538978337,0.9074018134417561,0.08792754566991495,0.9074018134417561,0.7330233538978337,6.8359374824557895,6.831054657737499,0.0048828247182903795,2.2670854517079193,1.8328530930360194,4.155234582339821,0.6879979756553128,0.16557379902911143,0.8344262009708886,0.6879979756553128,-0.05566872277611637,2.773846247173891,6.870117175281711,0.9345868664861099
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.7851004896226578,0.9739844558805144,0.07036007218824804,0.9739844558805144,0.7851004896226578,6.8359374824557895,6.8359374824557895,0.0,2.187668222800233,1.8328530930360194,4.009674468696018,2.162454821395504,0.5393093225590989,0.4606906774409011,2.162454821395504,-0.10501916236151936,2.8042711897075323,6.875000000000001,0.9352415536363727
morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,Morgan Hill,1.00 (encoded as morgan_1),passive-off,morgan_1_p_off_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.7399057023041022,0.9735303726716192,0.12924659237575917,0.9735303726716192,0.7399057023041022,6.923828126879736,6.918945302161448,0.004882824718288603,2.1517652755111167,1.8328530930360194,3.9438696407080527,3.75606632448386,0.952380952380711,0.047619047619289034,3.75606632448386,-0.13733036990440156,2.802080947343487,6.879882784617236,0.9348210990026554
