method_chain,case_id,case_name,probe_key,probe_name,probe_role,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,path_manifestation,final_w12,final_w23,final_path_dominance_index,mean_path_dominance_index,edge_current_rms_1F_2F,edge_current_rms_2F_3F,edge_current_concentration_ratio_1F_2F_over_2F_3F,mean_evolved_av_next_vs_measured_av_corr,mean_evolved_abs_av_next_vs_measured_abs_av_corr,mean_one_step_av_evolution_residual_rmse,mean_target_hit_power_alignment_corr,mean_signed_hit_power_vs_signed_av_corr,mean_target_hit_peak_time_offset_seconds,work_capacity_scale,mean_manifested_work_ratio,mean_unmanifested_work_margin,max_response_floor
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1402202543022613,0.859779745697739,0.14022025430219104,0.43524292443420504,0.4442495073600204,0.11805239711527184,3.7631553294294515,0.322514415152764,0.6154400558981449,22738.815768081546,0.6154400558981449,0.322514415152764,0.06300000000000239,12.231488201454129,0.5069021589478847,0.4930978410521152,3F
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1386185378004052,0.8613814621995945,0.13861853780033606,0.43388700330527935,0.4423463824655889,0.11827638319172865,3.7399383589942516,0.3329976091054984,0.6155947807259063,22700.90793411751,0.6155947807259063,0.3329976091054984,0.06300000000000239,12.268501311786766,0.5068262542080655,0.4931737457919345,3F
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9996200241569346,1.0003799758430654,-0.0003799758430651821,-0.006783386215610084,0.46836386401280655,0.4763814969377873,0.9831697222131804,-0.038518715264442914,0.7650680843379544,13214.599809736223,0.7650680843379544,-0.038518715264442914,0.2343333333333343,28.0569539995639,0.450361648150786,0.549638351849214,3F
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1385847579814008,0.8614152420185991,0.13858475798133155,0.4216416740902535,0.44180427037216624,0.11836798577154634,3.7324642088708755,0.32275900005747366,0.615458379041934,22737.832159798814,0.615458379041934,0.32275900005747366,0.06300000000000239,12.231454869255892,0.5069080141545457,0.49309198584545433,3F
QSM-QTE-FATE,el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.322092361602708,0.16481693638182268,1.9542431055421354,0.3259485010442839,0.6159499239953464,22724.216756102745,0.6159499239953464,0.3259485010442839,0.06300000000000239,12.230522902772316,0.5070249556215686,0.49297504437843137,3F
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1495633118985749,0.8504366881014251,0.14956331189850006,0.2096696777354528,0.2425148955529247,0.12062738896648018,2.0104463640368113,0.2580372098763449,0.5892913703515892,7284.96888403412,0.5892913703515892,0.2580372098763449,0.1946666666666701,9.714970613634911,0.5552983195532576,0.4447016804467425,1F
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1466517184175762,0.8533482815824237,0.1466517184175029,0.2083962014979407,0.24132158424874225,0.12107582250422966,1.9931442897141483,0.26506508245801447,0.5894115246750521,7277.167306489486,0.5894115246750521,0.26506508245801447,0.1946666666666701,9.73156672146492,0.5553931633740361,0.4446068366259639,1F
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9967603011705335,1.0032396988294663,-0.003239698829464778,-0.011889142254067647,0.46848871199296593,0.48277811085827393,0.9704017258759413,0.037321268079635185,0.737213082132285,4188.884261786351,0.737213082132285,0.037321268079635185,3.183333333333335,23.64128263438624,0.4882071851114264,0.5117928148885736,1F
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.1463092566968252,0.8536907433031748,0.146309256696752,0.20183819858904317,0.2406777359964877,0.12117540611498767,1.9861929389047295,0.2581149578358699,0.5893009276851441,7284.869032105963,0.5893009276851441,0.2581149578358699,0.1946666666666701,9.714966093059054,0.5553031770214559,0.444696822978544,1F
QSM-QTE-FATE,el_centro_050_passive_off,El Centro 0.50 — passive-off,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.1974736331279891,0.14155981817876193,1.3949836589732274,0.25913441783679425,0.5896263615725074,7283.415115162295,0.5896263615725074,0.25913441783679425,0.1946666666666701,9.714695795725223,0.555431357905617,0.444568642094383,1F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5426350663126362,0.45736493368736386,0.5426350663123649,0.36786953835109554,0.5304403691605503,0.12077741737653798,4.391883687183403,0.656291182145399,0.9184283661440458,0.06499635768387341,0.9184283661440458,0.656291182145399,0.0846354012110524,1.654114507076246,0.6108156340629378,0.3891843659370622,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5139791217078855,0.48602087829211443,0.5139791217076285,0.3858460114252798,0.5414928736061618,0.11034446582910909,4.907295255204431,0.7028053272028291,0.9183729485648806,0.06176447373726338,0.9183729485648806,0.7028053272028291,0.0846354012110524,1.6675514126764706,0.6060084845500238,0.39399151544997624,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9927788153980938,1.0072211846019063,-0.007221184601902683,-0.016580430780363517,0.4706037993976322,0.4910084896632471,0.9584433045535167,-0.01593274667668704,0.6766302529812714,0.07274760383740124,0.6766302529812714,-0.01593274667668704,0.7356770929408754,15.606317931252436,0.5488587172606718,0.4511412827393282,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5425533324583294,0.45744666754167057,0.542553332458058,0.3680012476191545,0.5304462971873324,0.12076250469614853,4.392475118975049,0.6562911565469043,0.9184283505672622,0.06499634274387751,0.9184283505672622,0.6562911565469043,0.0846354012110524,1.654114280791126,0.6108155483598394,0.38918445164016063,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.32391700430371084,0.22501706156935564,1.4395219724368873,0.6572069730148776,0.9184352864702529,0.06495821647012294,0.9184352864702529,0.6572069730148776,0.0846354012110524,1.6540583001918807,0.6109062735826517,0.38909372641734813,3F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.079086390378787,0.9209136096212128,0.07908639037874757,0.20540575740071831,0.42631142284292706,0.31152975903567776,1.3684452623761558,0.7526765152748646,0.95163888066463,0.09584473674464071,0.95163888066463,0.7526765152748646,0.0032552164788596607,1.8328530930360194,0.5524213579896404,0.4475786420103596,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.0766224388486196,0.9233775611513804,0.07662243884858132,0.18920187178052933,0.40146126776887847,0.3278740988192487,1.2244372739823302,0.782545595764044,0.9515931730702114,0.09181320635185493,0.9515931730702114,0.782545595764044,0.0032552164788596607,1.8468639963744766,0.5487873845803043,0.45121261541969576,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9963671373148376,1.0036328626851623,-0.0036328626851605136,-0.0171590201680772,0.4683909927728739,0.48908448755318146,0.9576893250391322,0.04634522885750103,0.6990076372960706,0.11113336926680582,0.6990076372960706,0.04634522885750103,2.337239577067543,22.207012424520688,0.49002306259928546,0.5099769374007145,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.0787505537488986,0.9212494462511014,0.07875055374885923,0.20507996953282775,0.4262231859070881,0.31168510354665424,1.3674801299636763,0.7526765272401356,0.9516388818234143,0.09584474737565929,0.9516388818234143,0.7526765272401356,0.0032552164788596607,1.8328527743840641,0.552421476996206,0.4475785230037939,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.3642313369748384,0.3884730177094954,0.9375975173809297,0.752680140539829,0.9516390965408799,0.09584803308641755,0.9516390965408799,0.752680140539829,0.0032552164788596607,1.8327148216149796,0.5524689691884376,0.4475310308115625,2F
